race,precinct,precinct_num,registered_voters,ballots_cast,candidate,votes,endorsed,vote_share,multi_candidate_race
US Senate,Northfield 26,26.0,965,227,Raja Krishnamoorthi,96,FALSE,0.4229,FALSE
US Senate,Northfield 27,27.0,1495,209,Raja Krishnamoorthi,75,FALSE,0.3589,FALSE
US Senate,Northfield 28,28.0,2141,381,Raja Krishnamoorthi,152,FALSE,0.399,FALSE
US Senate,Northfield 29,29.0,895,205,Raja Krishnamoorthi,74,FALSE,0.361,FALSE
US Senate,Northfield 30,30.0,1082,308,Raja Krishnamoorthi,144,FALSE,0.4675,FALSE
US Senate,Northfield 31,31.0,1413,260,Raja Krishnamoorthi,102,FALSE,0.3923,FALSE
US Senate,Northfield 32,32.0,1433,280,Raja Krishnamoorthi,112,FALSE,0.4,FALSE
US Senate,Northfield 33,33.0,1078,94,Raja Krishnamoorthi,34,FALSE,0.3617,FALSE
US Senate,Northfield 34,34.0,776,193,Raja Krishnamoorthi,120,FALSE,0.6218,FALSE
US Senate,Northfield 35,35.0,1188,221,Raja Krishnamoorthi,75,FALSE,0.3394,FALSE
US Senate,Northfield 36,36.0,1106,194,Raja Krishnamoorthi,89,FALSE,0.4588,FALSE
US Senate,Northfield 37,37.0,1254,369,Raja Krishnamoorthi,139,FALSE,0.3767,FALSE
US Senate,Northfield 38,38.0,903,200,Raja Krishnamoorthi,64,FALSE,0.32,FALSE
US Senate,Northfield 39,39.0,702,121,Raja Krishnamoorthi,50,FALSE,0.4132,FALSE
US Senate,Northfield 40,40.0,816,127,Raja Krishnamoorthi,57,FALSE,0.4488,FALSE
US Senate,Northfield 41,41.0,909,252,Raja Krishnamoorthi,126,FALSE,0.5,FALSE
US Senate,Northfield 42,42.0,1151,208,Raja Krishnamoorthi,118,FALSE,0.5673,FALSE
US Senate,Northfield 43,43.0,1183,238,Raja Krishnamoorthi,99,FALSE,0.416,FALSE
US Senate,Northfield 44,44.0,811,200,Raja Krishnamoorthi,98,FALSE,0.49,FALSE
US Senate,Northfield 45,45.0,837,176,Raja Krishnamoorthi,104,FALSE,0.5909,FALSE
US Senate,Northfield 46,46.0,1441,259,Raja Krishnamoorthi,98,FALSE,0.3784,FALSE
US Senate,Northfield 47,47.0,1386,379,Raja Krishnamoorthi,201,FALSE,0.5303,FALSE
US Senate,Northfield 48,48.0,1015,210,Raja Krishnamoorthi,98,FALSE,0.4667,FALSE
US Senate,Northfield 49,49.0,1157,147,Raja Krishnamoorthi,65,FALSE,0.4422,FALSE
US Senate,Northfield 50,50.0,1439,226,Raja Krishnamoorthi,99,FALSE,0.4381,FALSE
US Senate,Northfield 51,51.0,3043,630,Raja Krishnamoorthi,295,FALSE,0.4683,FALSE
US Senate,Northfield 52,52.0,904,277,Raja Krishnamoorthi,122,FALSE,0.4404,FALSE
US Senate,Northfield 53,53.0,1073,263,Raja Krishnamoorthi,146,FALSE,0.5551,FALSE
US Senate,Northfield 54,54.0,1740,384,Raja Krishnamoorthi,206,FALSE,0.5365,FALSE
US Senate,Northfield 55,55.0,1015,274,Raja Krishnamoorthi,144,FALSE,0.5255,FALSE
US Senate,Northfield 56,56.0,1466,311,Raja Krishnamoorthi,132,FALSE,0.4244,FALSE
US Senate,Northfield 57,57.0,820,166,Raja Krishnamoorthi,63,FALSE,0.3795,FALSE
US Senate,Northfield 58,58.0,604,100,Raja Krishnamoorthi,61,FALSE,0.61,FALSE
US Senate,Northfield Township Results,,71612,14715,Raja Krishnamoorthi,6480,FALSE,0.4404,FALSE
US Senate,Northfield 1,1.0,1856,165,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 2,2.0,979,225,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 3,3.0,1754,322,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 4,4.0,1156,219,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 5,5.0,865,150,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 6,6.0,1160,248,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 7,7.0,1578,377,Steve Botsford Jr.,1,FALSE,0.0027,FALSE
US Senate,Northfield 8,8.0,1540,307,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 9,9.0,790,213,Steve Botsford Jr.,1,FALSE,0.0047,FALSE
US Senate,Northfield 10,10.0,1036,201,Steve Botsford Jr.,1,FALSE,0.005,FALSE
US Senate,Northfield 11,11.0,1494,283,Steve Botsford Jr.,1,FALSE,0.0035,FALSE
US Senate,Northfield 12,12.0,1705,439,Steve Botsford Jr.,2,FALSE,0.0046,FALSE
US Senate,Northfield 13,13.0,989,194,Steve Botsford Jr.,2,FALSE,0.0103,FALSE
US Senate,Northfield 14,14.0,1063,209,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 15,15.0,1884,433,Steve Botsford Jr.,1,FALSE,0.0023,FALSE
US Senate,Northfield 16,16.0,1222,238,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 17,17.0,1839,267,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 18,18.0,1382,312,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 19,19.0,1361,297,Steve Botsford Jr.,4,FALSE,0.0135,FALSE
US Senate,Northfield 20,20.0,1070,256,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 21,21.0,1581,380,Steve Botsford Jr.,2,FALSE,0.0053,FALSE
US Senate,Northfield 22,22.0,1160,251,Steve Botsford Jr.,2,FALSE,0.008,FALSE
US Senate,Northfield 23,23.0,860,179,Steve Botsford Jr.,2,FALSE,0.0112,FALSE
US Senate,Northfield 24,24.0,1013,251,Steve Botsford Jr.,3,FALSE,0.012,FALSE
US Senate,Northfield 25,25.0,1034,210,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 26,26.0,965,227,Steve Botsford Jr.,1,FALSE,0.0044,FALSE
US Senate,Northfield 27,27.0,1495,209,Steve Botsford Jr.,1,FALSE,0.0048,FALSE
US Senate,Northfield 28,28.0,2141,381,Steve Botsford Jr.,4,FALSE,0.0105,FALSE
US Senate,Northfield 29,29.0,895,205,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 30,30.0,1082,308,Steve Botsford Jr.,2,FALSE,0.0065,FALSE
US Senate,Northfield 31,31.0,1413,260,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 32,32.0,1433,280,Steve Botsford Jr.,1,FALSE,0.0036,FALSE
US Senate,Northfield 33,33.0,1078,94,Steve Botsford Jr.,2,FALSE,0.0213,FALSE
US Senate,Northfield 34,34.0,776,193,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 35,35.0,1188,221,Steve Botsford Jr.,1,FALSE,0.0045,FALSE
US Senate,Northfield 36,36.0,1106,194,Steve Botsford Jr.,1,FALSE,0.0052,FALSE
US Senate,Northfield 37,37.0,1254,369,Steve Botsford Jr.,3,FALSE,0.0081,FALSE
US Senate,Northfield 38,38.0,903,200,Steve Botsford Jr.,2,FALSE,0.01,FALSE
US Senate,Northfield 39,39.0,702,121,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 40,40.0,816,127,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 41,41.0,909,252,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 42,42.0,1151,208,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 43,43.0,1183,238,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 44,44.0,811,200,Steve Botsford Jr.,1,FALSE,0.005,FALSE
US Senate,Northfield 45,45.0,837,176,Steve Botsford Jr.,1,FALSE,0.0057,FALSE
US Senate,Northfield 46,46.0,1441,259,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 47,47.0,1386,379,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 48,48.0,1015,210,Steve Botsford Jr.,1,FALSE,0.0048,FALSE
US Senate,Northfield 49,49.0,1157,147,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 50,50.0,1439,226,Steve Botsford Jr.,1,FALSE,0.0044,FALSE
US Senate,Northfield 51,51.0,3043,630,Steve Botsford Jr.,1,FALSE,0.0016,FALSE
US Senate,Northfield 52,52.0,904,277,Steve Botsford Jr.,2,FALSE,0.0072,FALSE
US Senate,Northfield 53,53.0,1073,263,Steve Botsford Jr.,1,FALSE,0.0038,FALSE
US Senate,Northfield 54,54.0,1740,384,Steve Botsford Jr.,2,FALSE,0.0052,FALSE
US Senate,Northfield 55,55.0,1015,274,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 56,56.0,1466,311,Steve Botsford Jr.,1,FALSE,0.0032,FALSE
US Senate,Northfield 57,57.0,820,166,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield 58,58.0,604,100,Steve Botsford Jr.,0,FALSE,0.0,FALSE
US Senate,Northfield Township Results,,71612,14715,Steve Botsford Jr.,51,FALSE,0.0035,FALSE
US Senate,Northfield 1,1.0,1856,165,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 2,2.0,979,225,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 3,3.0,1754,322,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 4,4.0,1156,219,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 5,5.0,865,150,Bryan Maxwell,2,FALSE,0.0133,FALSE
US Senate,Northfield 6,6.0,1160,248,Bryan Maxwell,1,FALSE,0.004,FALSE
US Senate,Northfield 7,7.0,1578,377,Bryan Maxwell,1,FALSE,0.0027,FALSE
US Senate,Northfield 8,8.0,1540,307,Bryan Maxwell,1,FALSE,0.0033,FALSE
US Senate,Northfield 9,9.0,790,213,Bryan Maxwell,1,FALSE,0.0047,FALSE
US Senate,Northfield 10,10.0,1036,201,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 11,11.0,1494,283,Bryan Maxwell,2,FALSE,0.0071,FALSE
US Senate,Northfield 12,12.0,1705,439,Bryan Maxwell,2,FALSE,0.0046,FALSE
US Senate,Northfield 13,13.0,989,194,Bryan Maxwell,3,FALSE,0.0155,FALSE
US Senate,Northfield 14,14.0,1063,209,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 15,15.0,1884,433,Bryan Maxwell,4,FALSE,0.0092,FALSE
US Senate,Northfield 16,16.0,1222,238,Bryan Maxwell,1,FALSE,0.0042,FALSE
US Senate,Northfield 17,17.0,1839,267,Bryan Maxwell,2,FALSE,0.0075,FALSE
US Senate,Northfield 18,18.0,1382,312,Bryan Maxwell,2,FALSE,0.0064,FALSE
US Senate,Northfield 19,19.0,1361,297,Bryan Maxwell,1,FALSE,0.0034,FALSE
US Senate,Northfield 20,20.0,1070,256,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 21,21.0,1581,380,Bryan Maxwell,3,FALSE,0.0079,FALSE
US Senate,Northfield 22,22.0,1160,251,Bryan Maxwell,1,FALSE,0.004,FALSE
US Senate,Northfield 23,23.0,860,179,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 24,24.0,1013,251,Bryan Maxwell,1,FALSE,0.004,FALSE
US Senate,Northfield 25,25.0,1034,210,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 26,26.0,965,227,Bryan Maxwell,1,FALSE,0.0044,FALSE
US Senate,Northfield 27,27.0,1495,209,Bryan Maxwell,4,FALSE,0.0191,FALSE
US Senate,Northfield 28,28.0,2141,381,Bryan Maxwell,4,FALSE,0.0105,FALSE
US Senate,Northfield 29,29.0,895,205,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 30,30.0,1082,308,Bryan Maxwell,1,FALSE,0.0032,FALSE
US Senate,Northfield 31,31.0,1413,260,Bryan Maxwell,2,FALSE,0.0077,FALSE
US Senate,Northfield 32,32.0,1433,280,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 33,33.0,1078,94,Bryan Maxwell,1,FALSE,0.0106,FALSE
US Senate,Northfield 34,34.0,776,193,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 35,35.0,1188,221,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 36,36.0,1106,194,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 37,37.0,1254,369,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 38,38.0,903,200,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 39,39.0,702,121,Bryan Maxwell,1,FALSE,0.0083,FALSE
US Senate,Northfield 40,40.0,816,127,Bryan Maxwell,3,FALSE,0.0236,FALSE
US Senate,Northfield 41,41.0,909,252,Bryan Maxwell,2,FALSE,0.0079,FALSE
US Senate,Northfield 42,42.0,1151,208,Bryan Maxwell,1,FALSE,0.0048,FALSE
US Senate,Northfield 43,43.0,1183,238,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 44,44.0,811,200,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 45,45.0,837,176,Bryan Maxwell,1,FALSE,0.0057,FALSE
US Senate,Northfield 46,46.0,1441,259,Bryan Maxwell,2,FALSE,0.0077,FALSE
US Senate,Northfield 47,47.0,1386,379,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 48,48.0,1015,210,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 49,49.0,1157,147,Bryan Maxwell,1,FALSE,0.0068,FALSE
US Senate,Northfield 50,50.0,1439,226,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 51,51.0,3043,630,Bryan Maxwell,2,FALSE,0.0032,FALSE
US Senate,Northfield 52,52.0,904,277,Bryan Maxwell,1,FALSE,0.0036,FALSE
US Senate,Northfield 53,53.0,1073,263,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 54,54.0,1740,384,Bryan Maxwell,2,FALSE,0.0052,FALSE
US Senate,Northfield 55,55.0,1015,274,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 56,56.0,1466,311,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield 57,57.0,820,166,Bryan Maxwell,1,FALSE,0.006,FALSE
US Senate,Northfield 58,58.0,604,100,Bryan Maxwell,0,FALSE,0.0,FALSE
US Senate,Northfield Township Results,,71612,14715,Bryan Maxwell,58,FALSE,0.0039,FALSE
US Senate,Northfield 1,1.0,1856,165,Jonathan Dean,1,FALSE,0.0061,FALSE
US Senate,Northfield 2,2.0,979,225,Jonathan Dean,0,FALSE,0.0,FALSE
US Senate,Northfield 3,3.0,1754,322,Jonathan Dean,0,FALSE,0.0,FALSE
US Senate,Northfield 4,4.0,1156,219,Jonathan Dean,0,FALSE,0.0,FALSE
US Senate,Northfield 5,5.0,865,150,Jonathan Dean,1,FALSE,0.0067,FALSE
US Senate,Northfield 6,6.0,1160,248,Jonathan Dean,0,FALSE,0.0,FALSE
US Senate,Northfield 7,7.0,1578,377,Jonathan Dean,1,FALSE,0.0027,FALSE
US Senate,Northfield 8,8.0,1540,307,Jonathan Dean,1,FALSE,0.0033,FALSE
US Senate,Northfield 9,9.0,790,213,Jonathan Dean,1,FALSE,0.0047,FALSE
US Senate,Northfield 10,10.0,1036,201,Jonathan Dean,2,FALSE,0.01,FALSE
US Senate,Northfield 11,11.0,1494,283,Jonathan Dean,2,FALSE,0.0071,FALSE
US Senate,Northfield 12,12.0,1705,439,Jonathan Dean,0,FALSE,0.0,FALSE
US Senate,Northfield 13,13.0,989,194,Jonathan Dean,2,FALSE,0.0103,FALSE
US Senate,Northfield 14,14.0,1063,209,Jonathan Dean,0,FALSE,0.0,FALSE
US Senate,Northfield 15,15.0,1884,433,Jonathan Dean,3,FALSE,0.0069,FALSE
US Senate,Northfield 16,16.0,1222,238,Jonathan Dean,1,FALSE,0.0042,FALSE
US Senate,Northfield 17,17.0,1839,267,Jonathan Dean,3,FALSE,0.0112,FALSE
US Senate,Northfield 18,18.0,1382,312,Jonathan Dean,0,FALSE,0.0,FALSE
